PARKFIELD C02090 Earthquake
4215,0.005
0.0000000000
-0.0000721962
-0.0001448599
-0.0002161388
-0.0002855482
-0.0003534596
-0.0004210534
-0.0004933963
-0.0005796796
-0.0006869376
-0.0008081905
-0.0009284866
-0.0010350289
-0.0011197494
-0.0011941095
-0.0012729314
-0.0013566655
-0.0014429309
-0.0015282413
-0.0016074138
-0.0016774801
-0.0017453412
-0.0018351672
-0.0019845728
-0.0022135912
-0.0024729892
-0.0026791452
-0.0027758232
-0.0027580740
-0.0026646304
-0.0026014761
-0.0027120727
-0.0030577391
-0.0036039588
-0.0042264337
-0.0047338692
-0.0050010967
-0.0050385580
-0.0049503107
-0.0049187339
-0.0051370118
-0.0057367121
-0.0067138528
-0.0078889214
-0.0090134211
-0.0098848848
-0.0104202407
-0.0107017083
-0.0109125780
-0.0112442003
-0.0118205966
-0.0126288106
-0.0135248440
-0.0142712047
-0.0146531931
-0.0146167244
-0.0142614323
-0.0137567576
-0.0133177026
-0.0131703892
-0.0134134527
-0.0139517442
-0.0145894152
-0.0151107848
-0.0153561234
-0.0153034587
-0.0150778193
-0.0148808096
-0.0148804833
-0.0151150460
-0.0154849440
-0.0158841908
-0.0162548213
-0.0165610187
-0.0168283552
-0.0171116558
-0.0174638417
-0.0179600347
-0.0186384630
-0.0194260470
-0.0201723203
-0.0207336496
-0.0210263540
-0.0210911526
-0.0210762288
-0.0211430741
-0.0214320503
-0.0219988644
-0.0227740175
-0.0236209886
-0.0244186438
-0.0250839999
-0.0256309063
-0.0261644750
-0.0267331168
-0.0273196707
-0.0278884365
-0.0283850261
-0.0287528688
-0.0289775437
-0.0291075065
-0.0292249957
-0.0293668436
-0.0294913621
-0.0295125265
-0.0293385318
-0.0289441111
-0.0283921604
-0.0278340834
-0.0275808156
-0.0279826594
-0.0291763053
-0.0309278167
-0.0327078607
-0.0339729651
-0.0343978889
-0.0340911499
-0.0335824428
-0.0333052010
-0.0332739829
-0.0331902968
-0.0326896333
-0.0315880217
-0.0299236167
-0.0278551624
-0.0255863617
-0.0233253403
-0.0211749844
-0.0191284186
-0.0171555740
-0.0152150536
-0.0132538438
-0.0112547060
-0.0092418134
-0.0073174131
-0.0056914873
-0.0046065228
-0.0042408928
-0.0046346796
-0.0056266135
-0.0069699358
-0.0084829942
-0.0099906274
-0.0112711029
-0.0121871371
-0.0128170963
-0.0133932226
-0.0141595722
-0.0152813447
-0.0167810246
-0.0185225999
-0.0202921678
-0.0219129460
-0.0233015547
-0.0244167842
-0.0251463859
-0.0253382363
-0.0249667025
-0.0241500720
-0.0231094987
-0.0221074660
-0.0213614218
-0.0209093424
-0.0206296977
-0.0203712887
-0.0199434320
-0.0192519168
-0.0183406645
-0.0173277830
-0.0163682094
-0.0155775475
-0.0150003129
-0.0146333954
-0.0144705996
-0.0145056533
-0.0147251585
-0.0151153464
-0.0156676807
-0.0163902447
-0.0172652331
-0.0181858346
-0.0190269905
-0.0197483577
-0.0203615049
-0.0208875979
-0.0213813680
-0.0219272884
-0.0226153539
-0.0234845945
-0.0245023241
-0.0256209069
-0.0267835642
-0.0278817541
-0.0287980087
-0.0294679987
-0.0298443445
-0.0298807746
-0.0295799061
-0.0289895314
-0.0282168384
-0.0274026725
-0.0266692747
-0.0261765492
-0.0260897604
-0.0264880318
-0.0273653156
-0.0286158395
-0.0299812406
-0.0311117896
-0.0317433965
-0.0319013289
-0.0318402745
-0.0317576705
-0.0316950031
-0.0316158277
-0.0314837514
-0.0312838905
-0.0310366386
-0.0308143526
-0.0306605614
-0.0305374440
-0.0303957785
-0.0301934009
-0.0298943586
-0.0295223192
-0.0291615465
-0.0289075093
-0.0288544792
-0.0290914336
-0.0297000995
-0.0306996778
-0.0319518244
-0.0331948520
-0.0341963565
-0.0348436354
-0.0351326235
-0.0351593213
-0.0350845730
-0.0350456674
-0.0350950378
-0.0352068687
-0.0353334596
-0.0354421606
-0.0355109216
-0.0355531945
-0.0356139759
-0.0357422551
-0.0359931257
-0.0363809085
-0.0369008893
-0.0375034982
-0.0380618812
-0.0384155644
-0.0385113802
-0.0383993017
-0.0382010875
-0.0381056188
-0.0382705987
-0.0388194254
-0.0397425049
-0.0408851322
-0.0420507726
-0.0430704526
-0.0438117631
-0.0442503190
-0.0444797208
-0.0446481758
-0.0448890787
-0.0452235288
-0.0456217188
-0.0460862977
-0.0466321755
-0.0472727290
-0.0479900100
-0.0487280791
-0.0494358026
-0.0500634680
-0.0505661390
-0.0509173084
-0.0511014353
-0.0511528736
-0.0511510382
-0.0511669185
-0.0512327371
-0.0512956885
-0.0512685391
-0.0511067852
-0.0507952744
-0.0503237551
-0.0497375162
-0.0491377162
-0.0485651380
-0.0479738314
-0.0472588480
-0.0462808370
