Simulation Number,Test Number,Scaled PGA,PGV/PGA,Toppling Status,Ground Truth Status
15,11,0.0565078219853717,0.0162245803938905,0,0
15,12,0.0699620927471831,0.0209687163964804,1,0
15,13,0.0994280305830093,0.0286244398532493,0,0
15,14,0.0750793142640292,0.0516255562195087,1,0
15,15,0.0959528458999681,0.0488866484097178,0,0
15,16,0.0938460816974818,0.0554564919002499,0,0
15,17,0.0992265882342475,0.0642878648425025,1,0
15,18,0.117198161139717,0.0629110069682458,0,0
15,19,0.0644144906375508,0.0871525684933061,0,0
15,20,0.10185188666322,0.09165335007371,0,0
15,21,0.0814147781769474,0.0736601987903416,0,0
15,22,0.086309445049449,0.0885774551010003,1,0
15,25,0.0801528238153776,0.154742410438559,1,0
15,26,0.0650508225649053,0.162348041686085,0,0
15,27,0.165870463200178,0.0855271524611227,1,1
15,28,0.0786602271007876,0.20082813621002,1,0
15,29,0.118927542668435,0.117811256097085,1,0
15,30,0.120611594679293,0.0701617980983604,0,0
15,31,0.0992283855488826,0.0927557423438464,1,0
15,32,0.0628015052827169,0.224936595218519,0,0
15,33,0.0950899139321846,0.0133954371789297,1,0
15,34,0.143320231061863,0.022024619221305,0,0
15,35,0.155900683169909,0.0332354028462213,0,0
15,36,0.172357377710455,0.04284498630477,1,0
15,37,0.148878137850424,0.0631649510127943,0,0
15,38,0.135833691852355,0.0758160378858507,0,0
15,39,0.179146356980439,0.0687752823782817,0,1
15,40,0.172076083534817,0.0859776752272452,1,0
15,41,0.144465079275726,0.070082267280158,0,0
15,42,0.170561817561893,0.108963553292832,1,1
15,43,0.157017380730556,0.0523341796855715,0,0
15,44,0.123105211369994,0.111690812650619,1,0
15,47,0.127348603191215,0.195140506718346,1,1
15,48,0.124291995891262,0.17536398747394,1,1
15,49,0.10613024840831,0.103478913742362,1,1
15,50,0.172849356808149,0.165015697792955,1,1
15,51,0.146457041023975,0.166352021482388,1,1
15,52,0.124514994352471,0.108687727136559,0,0
15,53,0.194309462679899,0.0895681838527634,1,1
15,54,0.0817158808671372,0.220071570106425,1,1
15,55,0.172406917947375,0.0124830179403997,0,0
15,56,0.19501095362591,0.0255504299281061,1,0
15,57,0.223658461016938,0.0348958599060668,0,1
15,58,0.232210725229723,0.0473457868749625,0,1
15,59,0.201617381171333,0.0693954846779962,1,1
15,60,0.215720406189578,0.07127864237141,1,1
15,61,0.214280592034416,0.0862695175919811,1,1
15,62,0.212879246492848,0.104397288230154,1,0
15,63,0.216500830888589,0.0649268325754783,0,0
15,64,0.224048541958811,0.12562054915168,1,1
15,65,0.172606335812173,0.0704181495501352,1,0
15,71,0.197061090051916,0.108356698361545,0,1
15,74,0.164075640672364,0.223601907607326,1,1
15,75,0.23598703252378,0.121205873953561,1,1
15,76,0.181325899411469,0.0880233188234428,1,1
15,77,0.229152573369896,0.146067424616687,1,1
15,78,0.205792964894555,0.167085837560304,1,1
15,79,0.184495371472069,0.117188673488556,1,1
15,80,0.173432737707069,0.14059568823621,1,1
15,81,0.129088903525134,0.183786431727224,1,1
15,86,0.282875273034352,0.0113364028182986,0,0
15,87,0.254922020441096,0.0258832437463258,0,0
15,88,0.287422760592332,0.0361499826554689,1,1
15,89,0.287312427815688,0.0493613238330239,1,1
15,90,0.212231790936256,0.0875219718717557,1,1
15,91,0.269083142201492,0.0763242833572936,1,1
15,92,0.255723378951601,0.0975907718268054,1,1
15,93,0.271823959657301,0.109233139787148,1,1
15,94,0.172955929926488,0.115153878183161,0,0
15,95,0.294944195731965,0.126717444634833,1,1
15,96,0.25106349333414,0.0633519620695763,1,1
15,97,0.237095640414663,0.11245238154746,1,1
15,100,0.288152500116042,0.123041752376143,1,1
15,101,0.383663689572247,0.0982662788657999,1,1
15,102,0.265287660778928,0.0825327795033284,1,1
15,103,0.28014730710897,0.145827838064148,1,1
15,104,0.27490164497791,0.161735507162944,1,1
15,105,0.235455107374204,0.119720939427999,1,1
15,106,0.239830275512734,0.107422804921149,1,1
