Simulation Number,Test Number,Scaled PGA,PGV/PGA,Toppling Status,Ground Truth Status
2,11,0.0565078219853717,0.0162245803938905,0,0
2,12,0.0699620927471831,0.0209687163964804,0,0
2,13,0.0994280305830093,0.0286244398532493,0,0
2,14,0.0750793142640292,0.0516255562195087,0,0
2,15,0.0959528458999681,0.0488866484097178,0,0
2,16,0.0938460816974818,0.0554564919002499,0,0
2,17,0.0992265882342475,0.0642878648425025,0,0
2,18,0.117198161139717,0.0629110069682458,0,0
2,19,0.0644144906375508,0.0871525684933061,0,0
2,20,0.10185188666322,0.09165335007371,0,0
2,21,0.0814147781769474,0.0736601987903416,0,0
2,22,0.086309445049449,0.0885774551010003,0,0
2,25,0.0801528238153776,0.154742410438559,0,0
2,26,0.0650508225649053,0.162348041686085,0,0
2,27,0.165870463200178,0.0855271524611227,1,1
2,28,0.0786602271007876,0.20082813621002,0,0
2,29,0.118927542668435,0.117811256097085,0,0
2,30,0.120611594679293,0.0701617980983604,0,0
2,31,0.0992283855488826,0.0927557423438464,0,0
2,32,0.0628015052827169,0.224936595218519,0,0
2,33,0.0950899139321846,0.0133954371789297,0,0
2,34,0.143320231061863,0.022024619221305,0,0
2,35,0.155900683169909,0.0332354028462213,0,0
2,36,0.172357377710455,0.04284498630477,0,0
2,37,0.148878137850424,0.0631649510127943,0,0
2,38,0.135833691852355,0.0758160378858507,0,0
2,39,0.179146356980439,0.0687752823782817,0,1
2,40,0.172076083534817,0.0859776752272452,0,0
2,41,0.144465079275726,0.070082267280158,0,0
2,42,0.170561817561893,0.108963553292832,0,1
2,43,0.157017380730556,0.0523341796855715,0,0
2,44,0.123105211369994,0.111690812650619,0,0
2,47,0.127348603191215,0.195140506718346,0,1
2,48,0.124291995891262,0.17536398747394,0,1
2,49,0.10613024840831,0.103478913742362,0,1
2,50,0.172849356808149,0.165015697792955,0,1
2,51,0.146457041023975,0.166352021482388,1,1
2,52,0.124514994352471,0.108687727136559,1,0
2,53,0.194309462679899,0.0895681838527634,1,1
2,54,0.0817158808671372,0.220071570106425,0,1
2,55,0.172406917947375,0.0124830179403997,0,0
2,56,0.19501095362591,0.0255504299281061,0,0
2,57,0.223658461016938,0.0348958599060668,0,1
2,58,0.232210725229723,0.0473457868749625,0,1
2,59,0.201617381171333,0.0693954846779962,1,1
2,60,0.215720406189578,0.07127864237141,0,1
2,61,0.214280592034416,0.0862695175919811,1,1
