Test,PGV (m/s),PGA (m/s²)
11,0.008936482887907153,0.5907629111691095
12,0.015745841897543408,0.6531431121480022
13,0.02849074294714359,0.7500590801182616
14,0.03735010738304642,0.7772124558843467
15,0.04981080998341435,0.662072725888375
16,0.058901261707069955,0.7627905195254869
17,0.06714228057994649,0.8305384513499635
18,0.07684786306100472,0.8339207080429176
19,0.07643629318530937,0.7687945355326332
20,0.09762400567211293,1.0991911933296596
21,0.09462464085910968,0.6885015278700828
22,0.10638714005274529,0.6995957600806681
25,0.13598052267450833,0.665697214296723
26,0.1372448347777015,0.7555909258185132
27,0.15593138535848672,1.4909192440174304
28,0.1710935639230338,0.9434187178210416
29,0.18162962609518138,1.149231970794718
30,0.14223436366010264,1.0569826237817526
31,0.13574280818898862,0.8370851132864768
32,0.18594388345343488,0.8666793822509679
33,0.012515250905159031,0.7645860673857242
34,0.031349678967440425,0.8639607698022512
35,0.05178249778467453,1.2309444103267477
36,0.07332683299307738,1.4304720091320458
37,0.09911547653860123,1.1972179837652872
38,0.11641274698583993,1.3179240010330424
39,0.13291260474711675,1.3596980572075457
40,0.15403614448589567,1.641805968682641
41,0.11300086915629048,0.9327940249495421
42,0.19402633020140414,1.3996980332493039
43,0.15376801131432957,1.221068537535156
44,0.16825562316010226,1.3149679121055784
47,0.2710877232930634,1.0854518347245765
48,0.2558596400255792,1.0763417364763679
49,0.16859524790023026,1.139860833645537
50,0.281252959184126,1.4397858890075301
51,0.30131650648335034,1.6852209735028292
52,0.20474244980147474,1.2401354762614296
53,0.20622902760889925,1.4537159270175684
54,0.23073938060292423,1.1925552557699657
55,0.020732543687205292,1.2392593133950653
56,0.049388159316784405,1.6107212820259187
57,0.07749599105489752,1.83201906211806
58,0.1077219353776984,1.9106748072928623
59,0.14733537044292533,1.8680008611176107
60,0.17388863244452882,1.68588597304374
61,0.19909381617794952,2.058328793304613
62,0.2309892615094094,2.0620058378365327
63,0.19766206480528492,1.6133963028539828
64,0.2935891289124624,2.0125408343952897
65,0.16399816780578438,1.7500531374207597
71,0.24359509719766448,1.8195991729126195
74,0.3799374089818167,1.7426150220109304
75,0.33441686169298823,1.7281193556234382
76,0.20710290322716704,1.6142603695780364
77,0.34114064081504575,2.153903669614885
78,0.3605717622046399,1.653184080358362
79,0.2754585645431466,1.7081553280674369
80,0.2854278241440931,1.7660599951661158
81,0.2597610933842946,1.3475238872405464
86,0.03188602219597354,1.6424318973818894
87,0.06534742620297887,1.8877172002823643
88,0.10374231474214354,2.2844366837364296
89,0.14128180952840888,2.3249020088714043
90,0.19566849054973562,2.1559021726979046
