Parameter,Value,Accuracy,Precision,Recall,Objective
lateralFriction,0.3,0.70446735395189,1,0.292181069958848,0.628212634169106
lateralFriction,0.4,0.745704467353952,1,0.390946502057613,0.680089941029231
lateralFriction,0.5,0.754295532646048,1,0.411522633744856,0.690897713291757
lateralFriction,0.55,0.821305841924399,0.966442953020134,0.592592592592593,0.773361675520397
